"ODS Code","Measure","Percentage","Over Target","Total","Year"
"RH8","31 Day Wait for first treatment By Cancer","0.924","162","2144","2015"
"RVJ","31 Day Wait for first treatment By Cancer","0.923","139","1796","2015"
"RRV","31 Day Wait for first treatment By Cancer","0.923","127","1639","2015"
"RJ1","31 Day Wait for first treatment By Cancer","0.947","120","2285","2015"
"RWE","31 Day Wait for first treatment By Cancer","0.953","120","2553","2015"
"RQ8","31 Day Wait for first treatment By Cancer","0.922","106","1366","2015"
"RHQ","31 Day Wait for first treatment By Cancer","0.971","94","3215","2015"
"RHM","31 Day Wait for first treatment By Cancer","0.964","90","2498","2015"
"RVV","31 Day Wait for first treatment By Cancer","0.950","89","1792","2015"
"RTG","31 Day Wait for first treatment By Cancer","0.954","86","1883","2015"
"RX1","31 Day Wait for first treatment By Cancer","0.968","78","2448","2015"
"RGT","31 Day Wait for first treatment By Cancer","0.956","78","1766","2015"
"RJE","31 Day Wait for first treatment By Cancer","0.964","77","2118","2015"
"RTD","31 Day Wait for first treatment By Cancer","0.976","77","3169","2015"
"RRK","31 Day Wait for first treatment By Cancer","0.960","73","1841","2015"
"RM1","31 Day Wait for first treatment By Cancer","0.973","68","2515","2015"
"RDZ","31 Day Wait for first treatment By Cancer","0.953","64","1357","2015"
"RTR","31 Day Wait for first treatment By Cancer","0.965","64","1848","2015"
"RK9","31 Day Wait for first treatment By Cancer","0.971","62","2130","2015"
"RDE","31 Day Wait for first treatment By Cancer","0.954","60","1310","2015"
"RXH","31 Day Wait for first treatment By Cancer","0.964","56","1538","2015"
"R1H","31 Day Wait for first treatment By Cancer","0.968","54","1685","2015"
"RTH","31 Day Wait for first treatment By Cancer","0.978","53","2387","2015"
"RR8","31 Day Wait for first treatment By Cancer","0.985","52","3370","2015"
"RWD","31 Day Wait for first treatment By Cancer","0.974","52","1971","2015"
"RPA","31 Day Wait for first treatment By Cancer","0.933","52","780","2015"
"RXN","31 Day Wait for first treatment By Cancer","0.973","51","1924","2015"
"RWA","31 Day Wait for first treatment By Cancer","0.974","50","1940","2015"
"RL4","31 Day Wait for first treatment By Cancer","0.968","49","1521","2015"
"RYJ","31 Day Wait for first treatment By Cancer","0.969","47","1535","2015"
"RHW","31 Day Wait for first treatment By Cancer","0.966","43","1257","2015"
"RWH","31 Day Wait for first treatment By Cancer","0.971","43","1489","2015"
"RA7","31 Day Wait for first treatment By Cancer","0.972","43","1550","2015"
"RWP","31 Day Wait for first treatment By Cancer","0.976","42","1775","2015"
"RHU","31 Day Wait for first treatment By Cancer","0.979","42","2003","2015"
"RF4","31 Day Wait for first treatment By Cancer","0.969","42","1339","2015"
"RWF","31 Day Wait for first treatment By Cancer","0.971","41","1417","2015"
"RR1","31 Day Wait for first treatment By Cancer","0.983","37","2155","2015"
"RXW","31 Day Wait for first treatment By Cancer","0.979","35","1660","2015"
"RBV","31 Day Wait for first treatment By Cancer","0.984","34","2157","2015"
"RA2","31 Day Wait for first treatment By Cancer","0.977","34","1456","2015"
"RXC","31 Day Wait for first treatment By Cancer","0.973","34","1268","2015"
"RNS","31 Day Wait for first treatment By Cancer","0.970","32","1078","2015"
"RM3","31 Day Wait for first treatment By Cancer","0.962","31","817","2015"
"REF","31 Day Wait for first treatment By Cancer","0.982","31","1738","2015"
"RGQ","31 Day Wait for first treatment By Cancer","0.975","30","1213","2015"
"REN","31 Day Wait for first treatment By Cancer","0.981","28","1450","2015"
"RBL","31 Day Wait for first treatment By Cancer","0.971","28","957","2015"
"RBN","31 Day Wait for first treatment By Cancer","0.980","26","1276","2015"
"RAJ","31 Day Wait for first treatment By Cancer","0.975","26","1050","2015"
"RQ6","31 Day Wait for first treatment By Cancer","0.973","25","913","2015"
"RNL","31 Day Wait for first treatment By Cancer","0.971","25","875","2015"
"RN3","31 Day Wait for first treatment By Cancer","0.974","24","937","2015"
"RCB","31 Day Wait for first treatment By Cancer","0.986","23","1688","2015"
"RBA","31 Day Wait for first treatment By Cancer","0.983","21","1234","2015"
"RJ7","31 Day Wait for first treatment By Cancer","0.979","21","1013","2015"
"RW3","31 Day Wait for first treatment By Cancer","0.976","19","803","2015"
