"ODS Code","Measure","Percentage","Over Target","Total","Year","Month"
"RH8","31 Day Wait for first treatment By Cancer","0.885","37","321","2015","6"
"RH8","31 Day Wait for first treatment By Cancer","0.892","36","332","2015","10"
"RVJ","31 Day Wait for first treatment By Cancer","0.881","31","261","2015","11"
"RH8","31 Day Wait for first treatment By Cancer","0.904","30","313","2015","7"
"RRK","31 Day Wait for first treatment By Cancer","0.908","27","294","2015","6"
"RRV","31 Day Wait for first treatment By Cancer","0.883","27","230","2015","8"
"RRV","31 Day Wait for first treatment By Cancer","0.900","26","260","2015","6"
"RVV","31 Day Wait for first treatment By Cancer","0.906","25","267","2015","7"
"RVJ","31 Day Wait for first treatment By Cancer","0.911","24","270","2015","7"
"RWE","31 Day Wait for first treatment By Cancer","0.937","24","379","2015","6"
"RJ1","31 Day Wait for first treatment By Cancer","0.932","23","339","2015","11"
"RH8","31 Day Wait for first treatment By Cancer","0.915","23","270","2015","8"
"RRV","31 Day Wait for first treatment By Cancer","0.896","23","222","2015","9"
"RRV","31 Day Wait for first treatment By Cancer","0.911","22","247","2015","7"
"RVJ","31 Day Wait for first treatment By Cancer","0.908","21","229","2015","8"
"RJ1","31 Day Wait for first treatment By Cancer","0.935","21","325","2015","9"
"RH8","31 Day Wait for first treatment By Cancer","0.930","21","301","2015","9"
"RWE","31 Day Wait for first treatment By Cancer","0.947","21","393","2015","9"
"RWE","31 Day Wait for first treatment By Cancer","0.943","20","351","2015","12"
"RHQ","31 Day Wait for first treatment By Cancer","0.960","20","498","2015","7"
"RHM","31 Day Wait for first treatment By Cancer","0.949","20","389","2015","11"
"RQ8","31 Day Wait for first treatment By Cancer","0.899","19","189","2015","11"
"RVV","31 Day Wait for first treatment By Cancer","0.932","19","278","2015","9"
"RQ8","31 Day Wait for first treatment By Cancer","0.911","19","214","2015","9"
"RVJ","31 Day Wait for first treatment By Cancer","0.923","19","248","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.935","18","277","2015","9"
"RJE","31 Day Wait for first treatment By Cancer","0.943","18","317","2015","6"
"RVJ","31 Day Wait for first treatment By Cancer","0.929","18","254","2015","9"
"RWE","31 Day Wait for first treatment By Cancer","0.952","17","355","2015","10"
"RJ1","31 Day Wait for first treatment By Cancer","0.945","17","307","2015","8"
"RTD","31 Day Wait for first treatment By Cancer","0.963","17","459","2015","8"
"RTR","31 Day Wait for first treatment By Cancer","0.941","16","272","2015","11"
"RHQ","31 Day Wait for first treatment By Cancer","0.965","16","451","2015","12"
"RWD","31 Day Wait for first treatment By Cancer","0.936","16","250","2015","8"
"RJE","31 Day Wait for first treatment By Cancer","0.943","16","283","2015","7"
"RJ1","31 Day Wait for first treatment By Cancer","0.950","16","319","2015","12"
"RGT","31 Day Wait for first treatment By Cancer","0.937","16","252","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.911","16","179","2015","6"
"RTD","31 Day Wait for first treatment By Cancer","0.965","16","458","2015","6"
"RM1","31 Day Wait for first treatment By Cancer","0.954","15","326","2015","8"
"RVJ","31 Day Wait for first treatment By Cancer","0.940","15","249","2015","12"
"RHM","31 Day Wait for first treatment By Cancer","0.959","15","364","2015","9"
"RJ1","31 Day Wait for first treatment By Cancer","0.951","15","304","2015","10"
"RTG","31 Day Wait for first treatment By Cancer","0.946","15","279","2015","9"
"RTG","31 Day Wait for first treatment By Cancer","0.939","15","247","2015","11"
"RVV","31 Day Wait for first treatment By Cancer","0.940","15","251","2015","8"
