"ODS Code","Measure","Percentage","Over Target","Total","Year","Month"
"RH8","31 Day Wait for first treatment By Cancer","0.885","37.0","321.0","2015","6"
"RH8","31 Day Wait for first treatment By Cancer","0.892","36.0","332.0","2015","10"
"RVJ","31 Day Wait for first treatment By Cancer","0.881","31.0","261.0","2015","11"
"RH8","31 Day Wait for first treatment By Cancer","0.904","30.0","313.0","2015","7"
"RRK","31 Day Wait for first treatment By Cancer","0.908","27.0","294.0","2015","6"
"RRV","31 Day Wait for first treatment By Cancer","0.883","27.0","230.0","2015","8"
"RRV","31 Day Wait for first treatment By Cancer","0.900","26.0","260.0","2015","6"
"RVV","31 Day Wait for first treatment By Cancer","0.906","25.0","267.0","2015","7"
"RWE","31 Day Wait for first treatment By Cancer","0.937","24.0","379.0","2015","6"
"RVJ","31 Day Wait for first treatment By Cancer","0.911","24.0","270.0","2015","7"
"RRV","31 Day Wait for first treatment By Cancer","0.896","23.0","222.0","2015","9"
"RJ1","31 Day Wait for first treatment By Cancer","0.932","23.0","339.0","2015","11"
"RH8","31 Day Wait for first treatment By Cancer","0.915","23.0","270.0","2015","8"
"RRV","31 Day Wait for first treatment By Cancer","0.911","22.0","247.0","2015","7"
"RJ1","31 Day Wait for first treatment By Cancer","0.935","21.0","325.0","2015","9"
"RVJ","31 Day Wait for first treatment By Cancer","0.908","21.0","229.0","2015","8"
"RWE","31 Day Wait for first treatment By Cancer","0.947","21.0","393.0","2015","9"
"RH8","31 Day Wait for first treatment By Cancer","0.930","21.0","301.0","2015","9"
"RHM","31 Day Wait for first treatment By Cancer","0.949","20.0","389.0","2015","11"
"RHQ","31 Day Wait for first treatment By Cancer","0.960","20.0","498.0","2015","7"
"RWE","31 Day Wait for first treatment By Cancer","0.943","20.0","351.0","2015","12"
"RQ8","31 Day Wait for first treatment By Cancer","0.911","19.0","214.0","2015","9"
"RQ8","31 Day Wait for first treatment By Cancer","0.899","19.0","189.0","2015","11"
"RVV","31 Day Wait for first treatment By Cancer","0.932","19.0","278.0","2015","9"
"RVJ","31 Day Wait for first treatment By Cancer","0.923","19.0","248.0","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.935","18.0","277.0","2015","9"
"RVJ","31 Day Wait for first treatment By Cancer","0.929","18.0","254.0","2015","9"
"RJE","31 Day Wait for first treatment By Cancer","0.943","18.0","317.0","2015","6"
"RTD","31 Day Wait for first treatment By Cancer","0.963","17.0","459.0","2015","8"
"RJ1","31 Day Wait for first treatment By Cancer","0.945","17.0","307.0","2015","8"
"RWE","31 Day Wait for first treatment By Cancer","0.952","17.0","355.0","2015","10"
"RJE","31 Day Wait for first treatment By Cancer","0.943","16.0","283.0","2015","7"
"RHQ","31 Day Wait for first treatment By Cancer","0.965","16.0","451.0","2015","12"
"RTD","31 Day Wait for first treatment By Cancer","0.965","16.0","458.0","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.911","16.0","179.0","2015","6"
"RJ1","31 Day Wait for first treatment By Cancer","0.950","16.0","319.0","2015","12"
"RTR","31 Day Wait for first treatment By Cancer","0.941","16.0","272.0","2015","11"
"RWD","31 Day Wait for first treatment By Cancer","0.936","16.0","250.0","2015","8"
"RGT","31 Day Wait for first treatment By Cancer","0.937","16.0","252.0","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.924","15.0","197.0","2015","10"
"RTG","31 Day Wait for first treatment By Cancer","0.939","15.0","247.0","2015","11"
"RTG","31 Day Wait for first treatment By Cancer","0.946","15.0","279.0","2015","9"
"RM1","31 Day Wait for first treatment By Cancer","0.954","15.0","326.0","2015","8"
"RVV","31 Day Wait for first treatment By Cancer","0.940","15.0","251.0","2015","8"
"RJ1","31 Day Wait for first treatment By Cancer","0.951","15.0","304.0","2015","10"
"RVJ","31 Day Wait for first treatment By Cancer","0.940","15.0","249.0","2015","12"
"RHM","31 Day Wait for first treatment By Cancer","0.959","15.0","364.0","2015","9"
"RJ1","31 Day Wait for first treatment By Cancer","0.958","14.0","334.0","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.928","14.0","195.0","2015","7"
"RJ1","31 Day Wait for first treatment By Cancer","0.961","14.0","357.0","2015","7"
"RDE","31 Day Wait for first treatment By Cancer","0.929","14.0","198.0","2015","7"
"RTR","31 Day Wait for first treatment By Cancer","0.949","14.0","275.0","2015","9"
"RWE","31 Day Wait for first treatment By Cancer","0.955","14.0","309.0","2015","11"
"RHM","31 Day Wait for first treatment By Cancer","0.963","14.0","380.0","2015","12"
"RHQ","31 Day Wait for first treatment By Cancer","0.970","14.0","470.0","2015","9"
"RDE","31 Day Wait for first treatment By Cancer","0.934","13.0","197.0","2015","6"
"RX1","31 Day Wait for first treatment By Cancer","0.964","13.0","357.0","2015","6"
"RR8","31 Day Wait for first treatment By Cancer","0.977","13.0","572.0","2015","7"
"RGT","31 Day Wait for first treatment By Cancer","0.947","13.0","245.0","2015","7"
"RCB","31 Day Wait for first treatment By Cancer","0.948","13.0","251.0","2015","6"
"RHQ","31 Day Wait for first treatment By Cancer","0.973","13.0","477.0","2015","6"
"RWE","31 Day Wait for first treatment By Cancer","0.965","13.0","374.0","2015","8"
